Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.6,28.5,26.63333333,51.2,25,0.27,1.2,5.333333333,25.51666667,2,Brazil
0.6,28.7,26.63333333,51.4,25,0.27,1.2,5.333333333,25.51666667,2,Brazil
0.6,28.5,26.63333333,51.4,25,0.27,1.2,5.333333333,25.51666667,2,Brazil
0.6,28.5,26.63333333,51.3,25,0.27,1.2,5.333333333,25.51666667,2,Brazil
0.4,28.5,26.63333333,51.1,25,0.34,1.2,5.333333333,25.51666667,0,Brazil
0.4,28.7,26.63333333,51.2,25,0.34,1.2,5.333333333,25.51666667,0,Brazil
0.4,28.5,26.63333333,51.4,25,0.34,1.2,5.333333333,25.51666667,0,Brazil
0.4,28.5,26.63333333,51.3,25,0.34,1.2,5.333333333,25.51666667,0,Brazil
0.4,28.5,26.63333333,51.1,25,0.34,1.2,5.333333333,25.51666667,2,Brazil
0.4,28.7,26.63333333,51.2,25,0.34,1.2,5.333333333,25.51666667,2,Brazil
0.4,28.5,26.63333333,51.4,25,0.34,1.2,5.333333333,25.51666667,1,Brazil
0.4,28.5,26.63333333,51.3,25,0.34,1.2,5.333333333,25.51666667,1,Brazil
0.5,28.5,26.63333333,51.1,25,0.34,1.2,5.333333333,25.51666667,1,Brazil
0.5,28.7,26.63333333,51.2,25,0.34,1.2,5.333333333,25.51666667,2,Brazil
0.5,28.5,26.63333333,51.4,25,0.34,1.2,5.333333333,25.51666667,2,Brazil
0.5,28.5,26.63333333,51.4,25,0.34,1.2,5.333333333,25.51666667,2,Brazil
0.9,28.5,26.63333333,51.1,25,0.27,1.2,5.333333333,25.51666667,1,Brazil
0.9,28.7,26.63333333,51.2,25,0.27,1.2,5.333333333,25.51666667,0,Brazil
0.9,28.5,26.63333333,51.4,25,0.27,1.2,5.333333333,25.51666667,0,Brazil
0.9,28.5,26.63333333,51.4,25,0.27,1.2,5.333333333,25.51666667,0,Brazil
0.3,28.5,26.63333333,51.1,25,0.31,1.2,5.333333333,25.51666667,1,Brazil
0.3,28.7,26.63333333,51.2,25,0.31,1.2,5.333333333,25.51666667,2,Brazil
0.3,28.5,26.63333333,51.4,25,0.31,1.2,5.333333333,25.51666667,2,Brazil
0.3,28.5,26.63333333,51.4,25,0.31,1.2,5.333333333,25.51666667,2,Brazil
0.3,28.5,26.63333333,51.1,25,0.27,1.2,5.333333333,25.51666667,0,Brazil
0.3,28.7,26.63333333,51.2,25,0.27,1.2,5.333333333,25.51666667,1,Brazil
0.3,28.5,26.63333333,51.4,25,0.27,1.2,5.333333333,25.51666667,1,Brazil
0.3,28.5,26.63333333,51.4,25,0.27,1.2,5.333333333,25.51666667,1,Brazil
